DataYear,YearBuilt,Electricity(kBtu),PropertyGFATotal,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,AvgFloorArea,ParkingRatio,NumberofFloors,PropertyGFAParking,BuildingType_Multifamily HR (10+),BuildingType_Multifamily LR (1-4),BuildingType_Multifamily MR (5-9),BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,Outlier_Low outlier
2016,1922,11824772.0,217603,1727.11,7.94,94,43520.6,0.0,5,0,False,False,False,True,False,False,False,False
2016,1970,5679498.0,93397,609.1,6.52,46,46698.5,0.0,2,0,False,False,False,True,False,False,False,False
2016,2008,2812688.0,84103,67.06,0.8,8,14017.166666666666,0.2465072589562798,6,20732,False,False,False,True,False,False,False,False
2016,1948,600813.0,53352,4.19,0.08,68,26676.0,0.0,2,0,False,False,False,False,False,False,True,False
2016,1965,9886484.0,179014,430.84,2.41,51,59671.333333333336,0.0,3,0,False,False,False,True,False,False,False,False
2016,1908,2660742.0,76631,262.75,3.43,108,10947.285714285714,0.0,7,0,False,False,False,True,False,False,False,False
2016,1983,10145313.0,99780,481.97,4.83,33,16630.0,0.09361595510122268,6,9341,False,False,False,True,False,False,False,False
2016,1929,361803.0,58320,39.06,0.67,87,29160.0,0.0,2,0,False,False,False,True,False,False,False,False
2016,2010,12871091.0,316306,138.85,0.44,6,63261.2,0.0,5,0,False,False,False,True,False,False,False,False
2016,1990,10980652.0,282863,526.85,1.86,26,40409.0,0.15826035925518714,7,44766,False,False,False,True,False,False,False,False
2016,1962,14419146.0,389000,607.41,1.56,54,389000.0,0.0,1,0,False,False,False,False,True,False,False,False
2016,1962,3754115.0,91213,344.2,3.77,54,91213.0,0.0,1,0,False,False,False,False,True,False,False,False
2016,1938,7252325.0,396085,804.2,2.03,78,79217.0,0.0,5,0,False,False,False,False,True,False,False,False
2016,2010,32206199.0,571329,617.52,1.08,6,47610.75,0.0,12,0,False,False,False,True,False,False,False,False
2016,1962,1293349.0,52000,101.83,1.96,54,26000.0,0.0,2,0,False,False,False,False,True,False,False,False
2016,1928,875943.0,60696,6.11,0.1,88,60696.0,0.0,1,0,False,False,False,False,True,False,False,False
2016,1928,13512686.0,262048,490.73,1.87,88,131024.0,0.0,2,0,False,False,False,False,True,False,False,False
2016,1986,4166305.0,66240,29.04,0.44,30,33120.0,0.035507246376811595,2,2352,False,False,False,True,False,False,False,False
2016,2010,27597261.0,920598,674.09,0.73,6,153433.0,0.3299018681335393,6,303707,False,False,False,True,False,False,False,False
2016,1970,2944692.0,76213,48.76,0.64,46,19053.25,0.3402306693083857,4,25930,False,False,False,True,False,False,False,False
2016,2002,2637011.0,96910,152.14,1.57,14,16151.666666666666,0.3811164998452172,6,36934,False,False,False,True,False,False,False,False
2016,1962,2128306.0,50017,191.2,3.82,54,12504.25,0.0,4,0,False,False,False,True,False,False,False,False
2016,1999,1698176.0,74468,11.84,0.16,17,24822.666666666668,0.0,3,0,False,False,False,False,False,False,True,False
2016,1923,1337786.0,67743,78.85,1.16,93,22581.0,0.0,3,0,False,False,False,True,False,False,False,False
2016,1908,1887893.0,194104,243.23,1.25,108,32350.666666666668,0.0,6,0,False,False,False,True,False,False,False,False
2016,2003,4897760.0,99433,34.14,0.34,13,33144.333333333336,0.35955869781662025,3,35752,False,False,False,True,False,False,False,False
2016,1991,2347138.0,58933,16.36,0.28,25,29466.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1957,2262820.0,130862,238.48,1.82,59,130862.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,1989,1436416.0,59955,20.48,0.34,27,19985.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,1964,1486758.0,93218,84.75,0.91,52,46609.0,0.0,2,0,False,False,False,False,False,False,True,False
2016,1941,6357631.0,56521,44.32,0.78,75,14130.25,0.0,4,0,False,False,False,True,False,False,False,False
2016,1929,2001103.0,206934,133.58,0.65,87,103467.0,0.0,2,0,False,False,False,True,False,False,False,False
2016,2001,1398289.0,51390,127.29,2.48,15,12847.5,0.0,4,0,False,False,False,True,False,False,False,False
2016,1963,1775488.0,131013,124.92,0.95,53,65506.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,1959,3926011.0,245587,443.73,1.81,57,245587.0,0.0,1,0,False,False,False,False,False,False,True,False
2016,2002,1802889.0,69138,89.02,1.29,14,23046.0,0.0,3,0,False,False,False,True,False,False,False,False
2016,1991,2104286.0,66588,14.67,0.22,25,22196.0,0.0,3,0,False,False,False,False,False,False,True,False
2016,1904,4402910.0,190980,142.39,0.75,112,38196.0,0.0,5,0,False,False,False,True,False,False,False,False
2016,1998,9803021.0,284100,429.12,1.51,18,47350.0,0.0,6,0,False,False,False,False,True,False,False,False
2016,1954,35237205.0,285333,1990.5,6.98,62,57066.6,0.0,5,0,False,False,False,True,False,False,False,False
2016,1991,1513571.0,55513,10.55,0.19,25,27756.5,0.0,2,0,False,False,False,False,False,False,True,False
2016,2006,6947270.0,61156,176.75,2.89,10,15289.0,0.0,4,0,False,False,False,False,True,False,False,False
2016,1910,1311669.0,72820,46.26,0.64,106,18205.0,0.1897830266410327,4,13820,False,False,False,True,False,False,False,False
2016,1996,4197462.0,162222,228.4,1.41,20,40555.5,0.08753436648543354,4,14200,False,False,False,True,False,False,False,False
2016,1990,6449764.0,289588,170.84,0.59,26,72397.0,0.0,4,0,False,False,False,False,False,False,True,False
2016,1915,1911064.0,63330,74.33,1.17,101,21110.0,0.0,3,0,False,False,False,True,False,False,False,False
2016,1970,25314575.0,441071,866.23,1.96,46,220535.5,0.0,2,0,False,False,False,False,False,False,False,False
2016,2002,13973696.0,96300,222.02,2.31,14,48150.0,0.0,2,0,False,False,False,True,False,False,False,False
